# x,y
1.000000000000000048e-04,0.000000000000000000e+00
1.827272727272727382e-02,0.000000000000000000e+00
3.644545454545455171e-02,0.000000000000000000e+00
5.461818181818182960e-02,2.000000000000000096e-04
7.279090909090910055e-02,1.266666666666666592e-03
9.096363636363637151e-02,8.166666666666665825e-03
1.091363636363636563e-01,3.070000000000000159e-02
1.273090909090908995e-01,8.546666666666666301e-02
1.454818181818181844e-01,1.653999999999999915e-01
1.636545454545454692e-01,2.720000000000000195e-01
1.818272727272727263e-01,3.920000000000000151e-01
2.000000000000000111e-01,4.935666666666666536e-01
