# x,y
1.000000000000000021e-03,0.000000000000000000e+00
1.490504643386196017e-03,0.000000000000000000e+00
2.221604091955811742e-03,0.000000000000000000e+00
3.311311214825910908e-03,0.000000000000000000e+00
4.935524741394806819e-03,1.000000000000000021e-03
7.356422544596413586e-03,2.099999999999999870e-03
1.096478196143185063e-02,8.999999999999999320e-03
1.634305842723137586e-02,2.659999999999999865e-02
2.435940447292027008e-02,8.359999999999999376e-02
3.630780547701013827e-02,2.076000000000000068e-01
5.411695265464637472e-02,4.299000000000000044e-01
8.066156921766134968e-02,6.259000000000000119e-01
1.202264434617413141e-01,7.735999999999999543e-01
1.791980722375333956e-01,8.578999999999999959e-01
2.670955587558985211e-01,8.737000000000000322e-01
3.981071705534972027e-01,8.718000000000000194e-01
